product_name,sku,category,unit_price,cost_price,current_stock,min_stock_level,description
Product 31,SKU841943,Beauty,573.11,483.97,42,12,Product 31 high quality beauty item
Product 32,SKU653693,Beauty,4297.18,3559.73,102,16,Product 32 high quality beauty item
Product 33,SKU352608,Home,3801.6,2772.87,463,48,Product 33 high quality home item
Product 34,SKU922027,Home,1610.66,1011.09,256,28,Product 34 high quality home item
Product 35,SKU685861,Beauty,901.26,578.79,403,24,Product 35 high quality beauty item
Product 36,SKU402471,Clothing,151.21,119.48,70,32,Product 36 high quality clothing item
Product 37,SKU937286,Grocery,946.91,694.72,137,23,Product 37 high quality grocery item
Product 38,SKU372364,Home,1071.11,862.2,86,20,Product 38 high quality home item
Product 39,SKU150356,Home,1828.53,1351.75,162,39,Product 39 high quality home item
Product 40,SKU899363,Beauty,208.45,139.32,395,24,Product 40 high quality beauty item
Product 41,SKU982164,Grocery,3122.12,2376.22,320,30,Product 41 high quality grocery item
Product 42,SKU614042,Beauty,2559.57,1946.62,54,38,Product 42 high quality beauty item
Product 43,SKU369933,Clothing,4146.73,3340.18,306,11,Product 43 high quality clothing item
Product 44,SKU246301,Home,1736.81,1096.33,52,32,Product 44 high quality home item
Product 45,SKU761953,Clothing,1822.16,1167.44,54,38,Product 45 high quality clothing item
Product 46,SKU305736,Beauty,2989.63,2040.86,192,49,Product 46 high quality beauty item
Product 47,SKU227238,Electronics,4817.66,3286.17,57,36,Product 47 high quality electronics item
Product 48,SKU607092,Home,2134.55,1406.5,324,20,Product 48 high quality home item
Product 49,SKU253572,Grocery,2287.94,1915.51,121,34,Product 49 high quality grocery item
Product 50,SKU099929,Electronics,1952.13,1218.0,373,14,Product 50 high quality electronics item
Product 51,SKU309452,Electronics,4699.13,3220.38,456,43,Product 51 high quality electronics item
Product 52,SKU626032,Sports,3461.75,2439.63,61,45,Product 52 high quality sports item
Product 53,SKU024310,Home,2077.63,1624.29,154,48,Product 53 high quality home item
Product 54,SKU135897,Electronics,1896.85,1222.62,135,22,Product 54 high quality electronics item
Product 55,SKU004703,Grocery,678.09,410.24,341,14,Product 55 high quality grocery item
Product 56,SKU160436,Grocery,3304.74,2469.91,276,50,Product 56 high quality grocery item
Product 57,SKU427975,Electronics,1523.87,986.17,105,13,Product 57 high quality electronics item
Product 58,SKU319264,Sports,638.47,412.54,449,38,Product 58 high quality sports item
Product 59,SKU767469,Home,3399.55,2546.09,273,29,Product 59 high quality home item
Product 60,SKU188001,Grocery,4066.93,3231.05,388,21,Product 60 high quality grocery item
Product 61,SKU302809,Electronics,1142.67,870.61,407,46,Product 61 high quality electronics item
Product 62,SKU001879,Clothing,2984.31,2294.23,295,47,Product 62 high quality clothing item
Product 63,SKU586844,Sports,2464.32,1712.49,369,10,Product 63 high quality sports item
Product 64,SKU902725,Electronics,2748.74,2111.48,279,37,Product 64 high quality electronics item
Product 65,SKU513157,Home,3608.85,2308.51,485,31,Product 65 high quality home item
Product 66,SKU987247,Home,3989.27,2654.35,476,18,Product 66 high quality home item
Product 67,SKU786902,Beauty,4200.27,2992.12,349,30,Product 67 high quality beauty item
Product 68,SKU257027,Beauty,635.72,525.41,381,21,Product 68 high quality beauty item
Product 69,SKU215647,Clothing,4041.03,2791.67,475,33,Product 69 high quality clothing item
Product 70,SKU755028,Clothing,570.04,347.33,315,22,Product 70 high quality clothing item
Product 71,SKU462248,Grocery,3518.47,2654.5,190,41,Product 71 high quality grocery item
Product 72,SKU352907,Home,1265.31,979.79,326,14,Product 72 high quality home item
Product 73,SKU010023,Clothing,646.74,454.2,54,24,Product 73 high quality clothing item
Product 74,SKU832417,Electronics,250.73,204.51,306,23,Product 74 high quality electronics item
Product 75,SKU431593,Home,2901.17,1902.8,482,36,Product 75 high quality home item
Product 76,SKU659902,Grocery,1258.42,765.14,32,35,Product 76 high quality grocery item
Product 77,SKU887721,Clothing,284.64,215.85,408,19,Product 77 high quality clothing item
Product 78,SKU782372,Clothing,4024.11,3002.57,451,20,Product 78 high quality clothing item
Product 79,SKU619038,Beauty,708.35,550.18,226,40,Product 79 high quality beauty item
Product 80,SKU066589,Beauty,773.43,592.84,109,11,Product 80 high quality beauty item
Product 81,SKU661397,Beauty,4922.18,3217.67,121,44,Product 81 high quality beauty item
Product 82,SKU315142,Beauty,4764.72,3268.76,425,29,Product 82 high quality beauty item
Product 83,SKU133193,Clothing,553.64,469.81,64,43,Product 83 high quality clothing item
Product 84,SKU835453,Home,786.95,541.85,403,21,Product 84 high quality home item
Product 85,SKU795344,Electronics,2390.08,1856.87,126,21,Product 85 high quality electronics item
Product 86,SKU778964,Home,2937.22,1788.31,422,21,Product 86 high quality home item
Product 87,SKU838080,Beauty,1542.81,1138.84,107,36,Product 87 high quality beauty item
Product 88,SKU086828,Home,1950.87,1359.78,113,41,Product 88 high quality home item
Product 89,SKU499711,Electronics,1195.85,1010.61,213,13,Product 89 high quality electronics item
Product 90,SKU061904,Clothing,401.99,285.07,115,11,Product 90 high quality clothing item
Product 91,SKU424272,Grocery,239.61,168.65,112,38,Product 91 high quality grocery item
Product 92,SKU949870,Clothing,2133.66,1473.32,253,26,Product 92 high quality clothing item
Product 93,SKU177190,Grocery,611.11,368.47,490,50,Product 93 high quality grocery item
Product 94,SKU329094,Beauty,4474.78,3360.05,397,50,Product 94 high quality beauty item
Product 95,SKU341388,Beauty,3931.22,3225.45,144,16,Product 95 high quality beauty item
Product 96,SKU559499,Home,3151.35,2455.59,221,45,Product 96 high quality home item
Product 97,SKU788997,Home,1404.13,962.14,430,46,Product 97 high quality home item
Product 98,SKU478490,Sports,1216.09,882.76,483,41,Product 98 high quality sports item
Product 99,SKU458411,Beauty,1900.29,1162.95,317,18,Product 99 high quality beauty item
Product 100,SKU550514,Home,4759.33,3451.91,166,46,Product 100 high quality home item
Product 101,SKU449703,Grocery,1092.85,779.42,208,17,Product 101 high quality grocery item
Product 102,SKU767943,Grocery,2764.7,2092.5,429,38,Product 102 high quality grocery item
Product 103,SKU382495,Grocery,3699.94,2802.32,379,40,Product 103 high quality grocery item
Product 104,SKU502948,Electronics,3690.1,2986.84,432,17,Product 104 high quality electronics item
Product 105,SKU513618,Beauty,340.24,232.2,249,38,Product 105 high quality beauty item
Product 106,SKU064810,Clothing,1832.16,1363.02,339,18,Product 106 high quality clothing item
Product 107,SKU265456,Home,4834.14,3044.41,332,48,Product 107 high quality home item
Product 108,SKU385035,Beauty,1853.28,1259.84,139,48,Product 108 high quality beauty item
Product 109,SKU301319,Electronics,372.49,310.59,477,40,Product 109 high quality electronics item
Product 110,SKU871561,Electronics,4390.83,3063.86,112,40,Product 110 high quality electronics item
Product 111,SKU922720,Clothing,4969.64,3453.87,88,21,Product 111 high quality clothing item
Product 112,SKU221107,Clothing,3910.79,2694.83,264,23,Product 112 high quality clothing item
Product 113,SKU955610,Beauty,4133.07,3284.53,447,34,Product 113 high quality beauty item
Product 114,SKU436999,Home,3840.16,2693.67,370,13,Product 114 high quality home item
Product 115,SKU560401,Sports,2690.8,1628.4,269,39,Product 115 high quality sports item
Product 116,SKU748743,Clothing,2858.44,1787.9,363,24,Product 116 high quality clothing item
Product 117,SKU340816,Electronics,3717.28,2332.15,176,43,Product 117 high quality electronics item
Product 118,SKU387692,Clothing,1622.6,1091.18,375,46,Product 118 high quality clothing item
Product 119,SKU975961,Electronics,936.96,572.31,493,13,Product 119 high quality electronics item
Product 120,SKU001592,Beauty,3460.55,2805.2,238,47,Product 120 high quality beauty item
Product 121,SKU218596,Home,1734.65,1125.52,306,48,Product 121 high quality home item
Product 122,SKU533919,Electronics,537.06,395.46,485,11,Product 122 high quality electronics item
Product 123,SKU950415,Clothing,4076.76,3109.6,271,46,Product 123 high quality clothing item
Product 124,SKU394212,Grocery,3891.88,3280.46,298,13,Product 124 high quality grocery item
Product 125,SKU772449,Clothing,2712.36,2220.81,172,36,Product 125 high quality clothing item
Product 126,SKU797811,Electronics,1131.92,750.64,386,31,Product 126 high quality electronics item
Product 127,SKU338932,Home,2438.84,1697.09,383,19,Product 127 high quality home item
Product 128,SKU344997,Beauty,4722.64,3747.73,359,26,Product 128 high quality beauty item
Product 129,SKU466548,Home,559.8,347.28,319,29,Product 129 high quality home item
Product 130,SKU981993,Sports,450.74,284.81,246,20,Product 130 high quality sports item
Product 131,SKU664749,Clothing,2237.42,1842.25,271,33,Product 131 high quality clothing item
Product 132,SKU476736,Electronics,4513.03,3167.89,122,26,Product 132 high quality electronics item
Product 133,SKU132456,Electronics,1068.27,760.03,464,33,Product 133 high quality electronics item
Product 134,SKU670286,Grocery,2100.56,1403.57,396,48,Product 134 high quality grocery item
Product 135,SKU067467,Grocery,4868.76,3174.75,497,32,Product 135 high quality grocery item
Product 136,SKU737429,Home,2173.0,1837.7,287,49,Product 136 high quality home item
Product 137,SKU623856,Beauty,639.24,454.89,125,10,Product 137 high quality beauty item
Product 138,SKU693023,Beauty,4415.09,2914.63,480,16,Product 138 high quality beauty item
Product 139,SKU119539,Grocery,841.77,603.11,491,39,Product 139 high quality grocery item
Product 140,SKU563970,Clothing,2247.92,1460.79,394,34,Product 140 high quality clothing item
Product 141,SKU491545,Clothing,3844.7,2627.55,151,23,Product 141 high quality clothing item
Product 142,SKU869685,Home,1164.86,731.48,316,17,Product 142 high quality home item
Product 143,SKU042842,Clothing,251.22,160.54,385,16,Product 143 high quality clothing item
Product 144,SKU825983,Home,4595.16,3637.94,351,23,Product 144 high quality home item
Product 145,SKU778742,Sports,2473.38,1830.95,402,11,Product 145 high quality sports item
Product 146,SKU308243,Beauty,4985.62,3045.3,29,45,Product 146 high quality beauty item
Product 147,SKU682135,Beauty,1401.74,908.48,432,15,Product 147 high quality beauty item
Product 148,SKU847306,Sports,3045.79,1901.14,307,14,Product 148 high quality sports item
Product 149,SKU950103,Sports,2853.75,2156.05,318,13,Product 149 high quality sports item
Product 150,SKU370167,Sports,1157.55,867.38,270,22,Product 150 high quality sports item
Product 151,SKU615717,Electronics,2702.16,2292.3,325,40,Product 151 high quality electronics item
Product 152,SKU532676,Sports,2271.82,1432.64,10,32,Product 152 high quality sports item
Product 153,SKU132504,Sports,956.01,799.1,460,35,Product 153 high quality sports item
Product 154,SKU858508,Grocery,4273.17,3180.62,92,34,Product 154 high quality grocery item
Product 155,SKU966968,Home,908.33,587.44,222,42,Product 155 high quality home item
Product 156,SKU017195,Sports,3087.9,2300.15,313,34,Product 156 high quality sports item
Product 157,SKU642232,Sports,3066.32,2558.59,448,31,Product 157 high quality sports item
Product 158,SKU257390,Electronics,2912.76,1984.77,477,18,Product 158 high quality electronics item
Product 159,SKU218266,Electronics,1116.04,891.85,443,39,Product 159 high quality electronics item
Product 160,SKU818434,Clothing,102.26,65.32,371,46,Product 160 high quality clothing item
Product 161,SKU846658,Beauty,1477.66,1157.65,234,29,Product 161 high quality beauty item
Product 162,SKU835644,Home,4216.37,2561.87,479,19,Product 162 high quality home item
Product 163,SKU172416,Grocery,1107.02,779.46,220,42,Product 163 high quality grocery item
Product 164,SKU192160,Sports,2947.08,2137.54,141,20,Product 164 high quality sports item
Product 165,SKU577306,Beauty,3500.04,2163.43,90,22,Product 165 high quality beauty item
Product 166,SKU823906,Grocery,1542.01,1061.02,18,36,Product 166 high quality grocery item
Product 167,SKU153057,Electronics,3782.48,2764.09,399,41,Product 167 high quality electronics item
Product 168,SKU902442,Home,2981.0,2383.04,401,38,Product 168 high quality home item
Product 169,SKU993384,Home,2318.78,1454.57,2,27,Product 169 high quality home item
Product 170,SKU596684,Beauty,3837.46,2365.49,498,14,Product 170 high quality beauty item
Product 171,SKU429019,Clothing,4022.7,2839.68,401,20,Product 171 high quality clothing item
Product 172,SKU518418,Home,1583.58,1139.44,310,34,Product 172 high quality home item
Product 173,SKU542603,Sports,202.6,144.36,309,29,Product 173 high quality sports item
Product 174,SKU625844,Beauty,4466.77,2844.35,407,27,Product 174 high quality beauty item
Product 175,SKU673433,Home,1317.8,1077.98,183,25,Product 175 high quality home item
Product 176,SKU922373,Electronics,1544.93,1281.2,298,31,Product 176 high quality electronics item
Product 177,SKU289886,Electronics,1300.45,1012.49,415,40,Product 177 high quality electronics item
Product 178,SKU330154,Beauty,1585.98,1240.57,301,43,Product 178 high quality beauty item
Product 179,SKU780608,Grocery,2267.99,1855.04,366,49,Product 179 high quality grocery item
Product 180,SKU133296,Grocery,1594.89,1246.6,70,32,Product 180 high quality grocery item
Product 181,SKU231653,Home,1048.65,826.28,126,30,Product 181 high quality home item
Product 182,SKU468392,Electronics,1704.41,1297.04,75,25,Product 182 high quality electronics item
Product 183,SKU480033,Clothing,595.28,448.77,157,38,Product 183 high quality clothing item
Product 184,SKU808579,Sports,4581.0,3371.68,307,34,Product 184 high quality sports item
Product 185,SKU019801,Home,3247.29,2110.03,333,12,Product 185 high quality home item
Product 186,SKU529606,Home,1481.06,1081.97,403,12,Product 186 high quality home item
Product 187,SKU659054,Grocery,1518.81,1258.48,49,40,Product 187 high quality grocery item
Product 188,SKU641234,Grocery,690.26,453.06,73,48,Product 188 high quality grocery item
Product 189,SKU169249,Grocery,4123.49,2508.99,252,39,Product 189 high quality grocery item
Product 190,SKU953026,Beauty,1998.93,1264.24,141,32,Product 190 high quality beauty item
Product 191,SKU773267,Electronics,411.82,251.2,172,14,Product 191 high quality electronics item
Product 192,SKU621947,Clothing,2846.68,1801.81,405,25,Product 192 high quality clothing item
Product 193,SKU459154,Sports,2749.79,2221.0,318,42,Product 193 high quality sports item
Product 194,SKU866125,Grocery,2581.47,2081.92,291,30,Product 194 high quality grocery item
Product 195,SKU891028,Sports,4709.95,3639.86,474,15,Product 195 high quality sports item
Product 196,SKU539338,Sports,1925.6,1208.97,113,43,Product 196 high quality sports item
Product 197,SKU821203,Home,2407.2,1667.49,98,16,Product 197 high quality home item
Product 198,SKU267452,Electronics,1406.59,961.13,226,37,Product 198 high quality electronics item
Product 199,SKU228484,Electronics,2340.15,1765.65,476,21,Product 199 high quality electronics item
Product 200,SKU599042,Electronics,758.26,611.8,158,45,Product 200 high quality electronics item
Product 201,SKU409883,Beauty,3255.24,2595.02,65,35,Product 201 high quality beauty item
Product 202,SKU538327,Grocery,2832.51,1885.42,92,10,Product 202 high quality grocery item
Product 203,SKU659697,Home,2145.39,1659.26,102,21,Product 203 high quality home item
Product 204,SKU800661,Home,650.13,394.07,287,18,Product 204 high quality home item
Product 205,SKU118553,Sports,958.83,686.02,359,36,Product 205 high quality sports item
Product 206,SKU526007,Sports,676.12,512.17,85,27,Product 206 high quality sports item
Product 207,SKU164645,Sports,4240.9,2789.53,201,22,Product 207 high quality sports item
Product 208,SKU034243,Grocery,4786.33,3345.88,299,18,Product 208 high quality grocery item
Product 209,SKU171562,Beauty,671.09,435.8,129,14,Product 209 high quality beauty item
Product 210,SKU272105,Electronics,641.99,477.5,211,32,Product 210 high quality electronics item
Product 211,SKU059266,Home,1051.94,634.57,141,37,Product 211 high quality home item
Product 212,SKU426989,Home,376.4,257.77,393,18,Product 212 high quality home item
Product 213,SKU195548,Clothing,1863.0,1222.52,351,21,Product 213 high quality clothing item
Product 214,SKU950263,Grocery,4426.63,3572.79,289,41,Product 214 high quality grocery item
Product 215,SKU021838,Beauty,1967.48,1264.45,255,46,Product 215 high quality beauty item
Product 216,SKU546524,Electronics,4969.56,3998.53,203,48,Product 216 high quality electronics item
Product 217,SKU260240,Electronics,3242.55,1984.23,394,30,Product 217 high quality electronics item
Product 218,SKU821394,Electronics,925.07,720.24,231,13,Product 218 high quality electronics item
Product 219,SKU630328,Electronics,1229.06,901.49,125,16,Product 219 high quality electronics item
Product 220,SKU871594,Sports,1370.76,841.63,346,49,Product 220 high quality sports item
Product 221,SKU858495,Beauty,4877.49,3715.21,77,42,Product 221 high quality beauty item
Product 222,SKU239138,Home,212.87,141.49,479,15,Product 222 high quality home item
Product 223,SKU246197,Electronics,2038.15,1293.88,34,25,Product 223 high quality electronics item
Product 224,SKU801900,Home,2112.1,1555.77,349,20,Product 224 high quality home item
Product 225,SKU146027,Beauty,4017.75,2682.02,35,24,Product 225 high quality beauty item
Product 226,SKU646189,Home,3996.45,3009.95,187,20,Product 226 high quality home item
Product 227,SKU896851,Beauty,1559.34,1080.45,187,16,Product 227 high quality beauty item
Product 228,SKU585331,Clothing,3786.09,2637.88,440,29,Product 228 high quality clothing item
Product 229,SKU266120,Electronics,4519.25,3370.06,256,27,Product 229 high quality electronics item
Product 230,SKU832577,Sports,1180.88,966.36,111,42,Product 230 high quality sports item
Product 231,SKU330470,Clothing,3715.54,2513.14,468,11,Product 231 high quality clothing item
Product 232,SKU777380,Electronics,4015.75,2811.56,323,17,Product 232 high quality electronics item
Product 233,SKU966551,Electronics,4725.58,3696.11,281,23,Product 233 high quality electronics item
Product 234,SKU270269,Electronics,404.13,273.29,452,29,Product 234 high quality electronics item
Product 235,SKU684881,Grocery,1534.27,1022.98,135,30,Product 235 high quality grocery item
Product 236,SKU379939,Grocery,1279.63,1050.52,376,35,Product 236 high quality grocery item
Product 237,SKU528514,Home,4888.67,3279.69,385,44,Product 237 high quality home item
Product 238,SKU551857,Sports,4613.42,2991.29,89,48,Product 238 high quality sports item
Product 239,SKU835980,Beauty,3405.56,2268.63,0,44,Product 239 high quality beauty item
Product 240,SKU582733,Grocery,1537.75,979.43,406,30,Product 240 high quality grocery item
Product 241,SKU846654,Home,1023.42,627.7,104,23,Product 241 high quality home item
Product 242,SKU580920,Clothing,4777.47,3431.03,349,26,Product 242 high quality clothing item
Product 243,SKU665510,Electronics,926.07,746.87,95,28,Product 243 high quality electronics item
Product 244,SKU885031,Home,434.71,278.26,22,35,Product 244 high quality home item
Product 245,SKU520039,Electronics,3118.01,1981.97,5,29,Product 245 high quality electronics item
Product 246,SKU028405,Clothing,3876.91,2629.25,376,36,Product 246 high quality clothing item
Product 247,SKU519241,Home,603.1,489.72,194,30,Product 247 high quality home item
Product 248,SKU075616,Electronics,1636.9,1176.29,4,26,Product 248 high quality electronics item
Product 249,SKU639793,Grocery,2679.34,1934.65,198,18,Product 249 high quality grocery item
Product 250,SKU662776,Beauty,2506.84,1935.98,466,39,Product 250 high quality beauty item
Product 251,SKU548009,Grocery,3990.16,2532.76,21,43,Product 251 high quality grocery item
Product 252,SKU096302,Clothing,1634.75,983.15,21,41,Product 252 high quality clothing item
Product 253,SKU884583,Sports,3228.3,2034.27,19,35,Product 253 high quality sports item
Product 254,SKU413775,Home,1426.61,1186.12,5,43,Product 254 high quality home item
Product 255,SKU358589,Home,4919.02,3779.6,493,44,Product 255 high quality home item
Product 256,SKU017849,Beauty,413.83,301.27,186,24,Product 256 high quality beauty item
Product 257,SKU365872,Electronics,3013.78,2318.64,255,17,Product 257 high quality electronics item
Product 258,SKU541549,Clothing,1358.66,1005.2,114,49,Product 258 high quality clothing item
Product 259,SKU107308,Clothing,3131.57,2184.35,175,43,Product 259 high quality clothing item
Product 260,SKU866682,Clothing,4577.76,3545.08,452,24,Product 260 high quality clothing item
Product 261,SKU390696,Grocery,2074.24,1535.19,476,17,Product 261 high quality grocery item
Product 262,SKU088247,Beauty,1784.06,1308.91,2,20,Product 262 high quality beauty item
Product 263,SKU750715,Home,2270.88,1591.67,393,34,Product 263 high quality home item
Product 264,SKU329895,Home,1611.13,1067.14,144,37,Product 264 high quality home item
Product 265,SKU711815,Grocery,4825.7,3327.45,261,45,Product 265 high quality grocery item
Product 266,SKU988648,Beauty,969.37,757.27,274,49,Product 266 high quality beauty item
Product 267,SKU828523,Beauty,3008.84,1813.26,435,40,Product 267 high quality beauty item
Product 268,SKU875597,Sports,4875.88,3876.0,119,23,Product 268 high quality sports item
Product 269,SKU210027,Grocery,219.91,142.4,31,44,Product 269 high quality grocery item
Product 270,SKU086172,Sports,3873.29,2822.6,435,10,Product 270 high quality sports item
Product 271,SKU548578,Beauty,521.37,314.98,167,46,Product 271 high quality beauty item
Product 272,SKU128345,Grocery,1949.51,1193.74,7,28,Product 272 high quality grocery item
Product 273,SKU837387,Sports,2197.0,1614.31,295,20,Product 273 high quality sports item
Product 274,SKU290825,Grocery,2545.71,1533.56,263,49,Product 274 high quality grocery item
Product 275,SKU214298,Electronics,1116.33,878.27,158,33,Product 275 high quality electronics item
Product 276,SKU874068,Home,2846.12,2115.04,31,45,Product 276 high quality home item
Product 277,SKU032486,Grocery,4583.87,3339.29,451,42,Product 277 high quality grocery item
Product 278,SKU691557,Clothing,1818.82,1500.2,51,45,Product 278 high quality clothing item
Product 279,SKU745932,Electronics,4212.83,3222.49,396,40,Product 279 high quality electronics item
Product 280,SKU483464,Electronics,4232.28,2625.97,246,45,Product 280 high quality electronics item
Product 281,SKU540745,Electronics,1295.05,830.07,65,32,Product 281 high quality electronics item
Product 282,SKU377468,Home,3770.36,2811.58,37,42,Product 282 high quality home item
Product 283,SKU755907,Grocery,3490.28,2637.35,286,13,Product 283 high quality grocery item
Product 284,SKU686175,Home,1745.03,1219.04,254,38,Product 284 high quality home item
Product 285,SKU550423,Clothing,981.95,758.11,46,43,Product 285 high quality clothing item
Product 286,SKU409651,Beauty,1188.72,964.82,361,25,Product 286 high quality beauty item
Product 287,SKU056959,Electronics,2585.62,2123.23,240,45,Product 287 high quality electronics item
Product 288,SKU451895,Clothing,1713.68,1280.07,63,29,Product 288 high quality clothing item
Product 289,SKU124406,Clothing,3538.72,2142.76,123,45,Product 289 high quality clothing item
Product 290,SKU717931,Beauty,2602.41,1594.34,230,13,Product 290 high quality beauty item
Product 291,SKU603503,Home,784.93,587.24,133,37,Product 291 high quality home item
Product 292,SKU041275,Sports,3682.98,2213.05,403,36,Product 292 high quality sports item
Product 293,SKU169001,Home,1041.25,817.67,216,35,Product 293 high quality home item
Product 294,SKU058356,Clothing,2574.57,1736.43,183,50,Product 294 high quality clothing item
Product 295,SKU066840,Sports,1117.78,915.82,245,10,Product 295 high quality sports item
Product 296,SKU817208,Electronics,4818.59,4008.85,469,45,Product 296 high quality electronics item
Product 297,SKU568193,Beauty,3562.22,2545.57,263,37,Product 297 high quality beauty item
Product 298,SKU536535,Home,2380.12,2011.75,34,28,Product 298 high quality home item
Product 299,SKU458522,Beauty,3000.54,2549.16,63,50,Product 299 high quality beauty item
Product 300,SKU180914,Clothing,4046.31,2471.08,8,21,Product 300 high quality clothing item
Product 301,SKU206554,Electronics,1745.02,1399.23,27,21,Product 301 high quality electronics item
Product 302,SKU646597,Home,4774.0,3041.14,354,34,Product 302 high quality home item
Product 303,SKU792725,Sports,3443.16,2357.04,161,20,Product 303 high quality sports item
Product 304,SKU021304,Electronics,2397.21,2026.21,296,32,Product 304 high quality electronics item
Product 305,SKU509620,Home,1861.96,1351.99,72,14,Product 305 high quality home item
Product 306,SKU325705,Electronics,4638.26,3372.54,136,40,Product 306 high quality electronics item
Product 307,SKU295506,Electronics,344.3,255.31,239,34,Product 307 high quality electronics item
Product 308,SKU207622,Electronics,2403.95,1547.12,403,32,Product 308 high quality electronics item
Product 309,SKU320255,Sports,1863.49,1179.02,197,28,Product 309 high quality sports item
Product 310,SKU008791,Home,2127.6,1570.0,455,36,Product 310 high quality home item
Product 311,SKU667242,Electronics,3773.73,2568.04,330,22,Product 311 high quality electronics item
Product 312,SKU751442,Sports,1518.16,1276.77,135,36,Product 312 high quality sports item
Product 313,SKU290927,Clothing,1524.71,1069.41,129,28,Product 313 high quality clothing item
Product 314,SKU875965,Clothing,1682.21,1113.45,473,48,Product 314 high quality clothing item
Product 315,SKU649935,Electronics,646.13,486.72,2,40,Product 315 high quality electronics item
Product 316,SKU973694,Clothing,4845.2,4096.97,0,24,Product 316 high quality clothing item
Product 317,SKU934778,Electronics,2833.5,2210.11,167,42,Product 317 high quality electronics item
Product 318,SKU219054,Electronics,1959.89,1510.84,73,20,Product 318 high quality electronics item
Product 319,SKU579807,Sports,185.15,113.07,499,34,Product 319 high quality sports item
Product 320,SKU309067,Electronics,4906.03,4074.09,491,46,Product 320 high quality electronics item
Product 321,SKU716897,Home,4493.27,3567.85,411,19,Product 321 high quality home item
Product 322,SKU458080,Grocery,369.46,305.0,215,32,Product 322 high quality grocery item
Product 323,SKU632024,Home,1633.87,1013.65,82,31,Product 323 high quality home item
Product 324,SKU642281,Electronics,4756.01,2879.87,367,27,Product 324 high quality electronics item
Product 325,SKU691860,Electronics,2937.59,1860.75,6,23,Product 325 high quality electronics item
Product 326,SKU909099,Beauty,143.59,87.19,213,24,Product 326 high quality beauty item
Product 327,SKU261284,Beauty,2157.0,1602.38,364,47,Product 327 high quality beauty item
Product 328,SKU894529,Sports,2677.24,1877.43,141,33,Product 328 high quality sports item
Product 329,SKU960715,Sports,1549.7,1315.31,214,11,Product 329 high quality sports item
Product 330,SKU850098,Home,468.73,313.72,317,41,Product 330 high quality home item
Product 331,SKU182871,Home,2604.02,2200.1,439,32,Product 331 high quality home item
Product 332,SKU008931,Sports,523.86,360.51,186,47,Product 332 high quality sports item
Product 333,SKU813590,Sports,691.25,517.58,92,32,Product 333 high quality sports item
Product 334,SKU965046,Electronics,2060.22,1469.25,135,42,Product 334 high quality electronics item
Product 335,SKU465539,Grocery,2532.76,1821.2,166,16,Product 335 high quality grocery item
Product 336,SKU498527,Home,4890.31,4149.84,258,46,Product 336 high quality home item
