product_code,product_name,category,description,unit,raw_material_cost,labor_cost,overhead_cost,selling_price,min_stock_level,current_stock,is_active,image_url,business_id
PRD-069,Plastic Product 69,Plastic,Plastic manufacturing item 69,pcs,39.5,15.8,7.9,67.2,100,300,1,,1
PRD-070,Plastic Product 70,Plastic,Plastic manufacturing item 70,pcs,40.0,16.0,8.0,68.0,100,300,1,,1
PRD-071,Plastic Product 71,Plastic,Plastic manufacturing item 71,pcs,40.5,16.2,8.1,68.8,100,300,1,,1
PRD-072,Plastic Product 72,Plastic,Plastic manufacturing item 72,pcs,41.0,16.4,8.2,69.6,100,300,1,,1
PRD-073,Plastic Product 73,Plastic,Plastic manufacturing item 73,pcs,41.5,16.6,8.3,70.4,100,300,1,,1
PRD-074,Plastic Product 74,Plastic,Plastic manufacturing item 74,pcs,42.0,16.8,8.4,71.2,100,300,1,,1
PRD-075,Plastic Product 75,Plastic,Plastic manufacturing item 75,pcs,42.5,17.0,8.5,72.0,100,300,1,,1
PRD-076,Plastic Product 76,Plastic,Plastic manufacturing item 76,pcs,43.0,17.2,8.6,72.8,100,300,1,,1
PRD-077,Plastic Product 77,Plastic,Plastic manufacturing item 77,pcs,43.5,17.4,8.7,73.6,100,300,1,,1
PRD-078,Plastic Product 78,Plastic,Plastic manufacturing item 78,pcs,44.0,17.6,8.8,74.4,100,300,1,,1
PRD-079,Plastic Product 79,Plastic,Plastic manufacturing item 79,pcs,44.5,17.8,8.9,75.2,100,300,1,,1
PRD-080,Plastic Product 80,Plastic,Plastic manufacturing item 80,pcs,45.0,18.0,9.0,76.0,100,300,1,,1
PRD-081,Plastic Product 81,Plastic,Plastic manufacturing item 81,pcs,45.5,18.2,9.1,76.8,100,300,1,,1
PRD-082,Plastic Product 82,Plastic,Plastic manufacturing item 82,pcs,46.0,18.4,9.2,77.6,100,300,1,,1
PRD-083,Plastic Product 83,Plastic,Plastic manufacturing item 83,pcs,46.5,18.6,9.3,78.4,100,300,1,,1
PRD-084,Plastic Product 84,Plastic,Plastic manufacturing item 84,pcs,47.0,18.8,9.4,79.2,100,300,1,,1
PRD-085,Plastic Product 85,Plastic,Plastic manufacturing item 85,pcs,47.5,19.0,9.5,80.0,100,300,1,,1
PRD-086,Plastic Product 86,Plastic,Plastic manufacturing item 86,pcs,48.0,19.2,9.6,80.8,100,300,1,,1
PRD-087,Plastic Product 87,Plastic,Plastic manufacturing item 87,pcs,48.5,19.4,9.7,81.6,100,300,1,,1
PRD-088,Plastic Product 88,Plastic,Plastic manufacturing item 88,pcs,49.0,19.6,9.8,82.4,100,300,1,,1
PRD-089,Plastic Product 89,Plastic,Plastic manufacturing item 89,pcs,49.5,19.8,9.9,83.2,100,300,1,,1
PRD-090,Plastic Product 90,Plastic,Plastic manufacturing item 90,pcs,50.0,20.0,10.0,84.0,100,300,1,,1
PRD-091,Plastic Product 91,Plastic,Plastic manufacturing item 91,pcs,50.5,20.2,10.1,84.8,100,300,1,,1
PRD-092,Plastic Product 92,Plastic,Plastic manufacturing item 92,pcs,51.0,20.4,10.2,85.6,100,300,1,,1
PRD-093,Plastic Product 93,Plastic,Plastic manufacturing item 93,pcs,51.5,20.6,10.3,86.4,100,300,1,,1
PRD-094,Plastic Product 94,Plastic,Plastic manufacturing item 94,pcs,52.0,20.8,10.4,87.2,100,300,1,,1
PRD-095,Plastic Product 95,Plastic,Plastic manufacturing item 95,pcs,52.5,21.0,10.5,88.0,100,300,1,,1
PRD-096,Plastic Product 96,Plastic,Plastic manufacturing item 96,pcs,53.0,21.2,10.6,88.8,100,300,1,,1
PRD-097,Plastic Product 97,Plastic,Plastic manufacturing item 97,pcs,53.5,21.4,10.7,89.6,100,300,1,,1
PRD-098,Plastic Product 98,Plastic,Plastic manufacturing item 98,pcs,54.0,21.6,10.8,90.4,100,300,1,,1
PRD-099,Plastic Product 99,Plastic,Plastic manufacturing item 99,pcs,54.5,21.8,10.9,91.2,100,300,1,,1
PRD-100,Plastic Product 100,Plastic,Plastic manufacturing item 100,pcs,55.0,22.0,11.0,92.0,100,300,1,,1
PRD-101,Plastic Product 101,Plastic,Plastic manufacturing item 101,pcs,55.5,22.2,11.1,92.8,100,300,1,,1
PRD-102,Plastic Product 102,Plastic,Plastic manufacturing item 102,pcs,56.0,22.4,11.2,93.6,100,300,1,,1
PRD-103,Plastic Product 103,Plastic,Plastic manufacturing item 103,pcs,56.5,22.6,11.3,94.4,100,300,1,,1
PRD-104,Plastic Product 104,Plastic,Plastic manufacturing item 104,pcs,57.0,22.8,11.4,95.2,100,300,1,,1
PRD-105,Plastic Product 105,Plastic,Plastic manufacturing item 105,pcs,57.5,23.0,11.5,96.0,100,300,1,,1
PRD-106,Plastic Product 106,Plastic,Plastic manufacturing item 106,pcs,58.0,23.2,11.6,96.8,100,300,1,,1
PRD-107,Plastic Product 107,Plastic,Plastic manufacturing item 107,pcs,58.5,23.4,11.7,97.6,100,300,1,,1
PRD-108,Plastic Product 108,Plastic,Plastic manufacturing item 108,pcs,59.0,23.6,11.8,98.4,100,300,1,,1
PRD-109,Plastic Product 109,Plastic,Plastic manufacturing item 109,pcs,59.5,23.8,11.9,99.2,100,300,1,,1
PRD-110,Plastic Product 110,Plastic,Plastic manufacturing item 110,pcs,60.0,24.0,12.0,100.0,100,300,1,,1
PRD-111,Plastic Product 111,Plastic,Plastic manufacturing item 111,pcs,60.5,24.2,12.1,100.8,100,300,1,,1
PRD-112,Plastic Product 112,Plastic,Plastic manufacturing item 112,pcs,61.0,24.4,12.2,101.6,100,300,1,,1
PRD-113,Plastic Product 113,Plastic,Plastic manufacturing item 113,pcs,61.5,24.6,12.3,102.4,100,300,1,,1
PRD-114,Plastic Product 114,Plastic,Plastic manufacturing item 114,pcs,62.0,24.8,12.4,103.2,100,300,1,,1
PRD-115,Plastic Product 115,Plastic,Plastic manufacturing item 115,pcs,62.5,25.0,12.5,104.0,100,300,1,,1
PRD-116,Plastic Product 116,Plastic,Plastic manufacturing item 116,pcs,63.0,25.2,12.6,104.8,100,300,1,,1
PRD-117,Plastic Product 117,Plastic,Plastic manufacturing item 117,pcs,63.5,25.4,12.7,105.6,100,300,1,,1
PRD-118,Plastic Product 118,Plastic,Plastic manufacturing item 118,pcs,64.0,25.6,12.8,106.4,100,300,1,,1
PRD-119,Plastic Product 119,Plastic,Plastic manufacturing item 119,pcs,64.5,25.8,12.9,107.2,100,300,1,,1
PRD-120,Plastic Product 120,Plastic,Plastic manufacturing item 120,pcs,65.0,26.0,13.0,108.0,100,300,1,,1
PRD-121,Plastic Product 121,Plastic,Plastic manufacturing item 121,pcs,65.5,26.2,13.1,108.8,100,300,1,,1
PRD-122,Plastic Product 122,Plastic,Plastic manufacturing item 122,pcs,66.0,26.4,13.2,109.6,100,300,1,,1
PRD-123,Plastic Product 123,Plastic,Plastic manufacturing item 123,pcs,66.5,26.6,13.3,110.4,100,300,1,,1
PRD-124,Plastic Product 124,Plastic,Plastic manufacturing item 124,pcs,67.0,26.8,13.4,111.2,100,300,1,,1
PRD-125,Plastic Product 125,Plastic,Plastic manufacturing item 125,pcs,67.5,27.0,13.5,112.0,100,300,1,,1
PRD-126,Plastic Product 126,Plastic,Plastic manufacturing item 126,pcs,68.0,27.2,13.6,112.8,100,300,1,,1
PRD-127,Plastic Product 127,Plastic,Plastic manufacturing item 127,pcs,68.5,27.4,13.7,113.6,100,300,1,,1
PRD-128,Plastic Product 128,Plastic,Plastic manufacturing item 128,pcs,69.0,27.6,13.8,114.4,100,300,1,,1
PRD-129,Plastic Product 129,Plastic,Plastic manufacturing item 129,pcs,69.5,27.8,13.9,115.2,100,300,1,,1
PRD-130,Plastic Product 130,Plastic,Plastic manufacturing item 130,pcs,70.0,28.0,14.0,116.0,100,300,1,,1
PRD-131,Plastic Product 131,Plastic,Plastic manufacturing item 131,pcs,70.5,28.2,14.1,116.8,100,300,1,,1
PRD-132,Plastic Product 132,Plastic,Plastic manufacturing item 132,pcs,71.0,28.4,14.2,117.6,100,300,1,,1
PRD-133,Plastic Product 133,Plastic,Plastic manufacturing item 133,pcs,71.5,28.6,14.3,118.4,100,300,1,,1
PRD-134,Plastic Product 134,Plastic,Plastic manufacturing item 134,pcs,72.0,28.8,14.4,119.2,100,300,1,,1
PRD-135,Plastic Product 135,Plastic,Plastic manufacturing item 135,pcs,72.5,29.0,14.5,120.0,100,300,1,,1
PRD-136,Plastic Product 136,Plastic,Plastic manufacturing item 136,pcs,73.0,29.2,14.6,120.8,100,300,1,,1
PRD-137,Plastic Product 137,Plastic,Plastic manufacturing item 137,pcs,73.5,29.4,14.7,121.6,100,300,1,,1
PRD-138,Plastic Product 138,Plastic,Plastic manufacturing item 138,pcs,74.0,29.6,14.8,122.4,100,300,1,,1
PRD-139,Plastic Product 139,Plastic,Plastic manufacturing item 139,pcs,74.5,29.8,14.9,123.2,100,300,1,,1
PRD-140,Plastic Product 140,Plastic,Plastic manufacturing item 140,pcs,75.0,30.0,15.0,124.0,100,300,1,,1
PRD-141,Plastic Product 141,Plastic,Plastic manufacturing item 141,pcs,75.5,30.2,15.1,124.8,100,300,1,,1
PRD-142,Plastic Product 142,Plastic,Plastic manufacturing item 142,pcs,76.0,30.4,15.2,125.6,100,300,1,,1
PRD-143,Plastic Product 143,Plastic,Plastic manufacturing item 143,pcs,76.5,30.6,15.3,126.4,100,300,1,,1
PRD-144,Plastic Product 144,Plastic,Plastic manufacturing item 144,pcs,77.0,30.8,15.4,127.2,100,300,1,,1
PRD-145,Plastic Product 145,Plastic,Plastic manufacturing item 145,pcs,77.5,31.0,15.5,128.0,100,300,1,,1
PRD-146,Plastic Product 146,Plastic,Plastic manufacturing item 146,pcs,78.0,31.2,15.6,128.8,100,300,1,,1
PRD-147,Plastic Product 147,Plastic,Plastic manufacturing item 147,pcs,78.5,31.4,15.7,129.6,100,300,1,,1
PRD-148,Plastic Product 148,Plastic,Plastic manufacturing item 148,pcs,79.0,31.6,15.8,130.4,100,300,1,,1
PRD-149,Plastic Product 149,Plastic,Plastic manufacturing item 149,pcs,79.5,31.8,15.9,131.2,100,300,1,,1
PRD-150,Plastic Product 150,Plastic,Plastic manufacturing item 150,pcs,80.0,32.0,16.0,132.0,100,300,1,,1
PRD-151,Plastic Product 151,Plastic,Plastic manufacturing item 151,pcs,80.5,32.2,16.1,132.8,100,300,1,,1
PRD-152,Plastic Product 152,Plastic,Plastic manufacturing item 152,pcs,81.0,32.4,16.2,133.6,100,300,1,,1
PRD-153,Plastic Product 153,Plastic,Plastic manufacturing item 153,pcs,81.5,32.6,16.3,134.4,100,300,1,,1
PRD-154,Plastic Product 154,Plastic,Plastic manufacturing item 154,pcs,82.0,32.8,16.4,135.2,100,300,1,,1
PRD-155,Plastic Product 155,Plastic,Plastic manufacturing item 155,pcs,82.5,33.0,16.5,136.0,100,300,1,,1
PRD-156,Plastic Product 156,Plastic,Plastic manufacturing item 156,pcs,83.0,33.2,16.6,136.8,100,300,1,,1
PRD-157,Plastic Product 157,Plastic,Plastic manufacturing item 157,pcs,83.5,33.4,16.7,137.6,100,300,1,,1
PRD-158,Plastic Product 158,Plastic,Plastic manufacturing item 158,pcs,84.0,33.6,16.8,138.4,100,300,1,,1
PRD-159,Plastic Product 159,Plastic,Plastic manufacturing item 159,pcs,84.5,33.8,16.9,139.2,100,300,1,,1
PRD-160,Plastic Product 160,Plastic,Plastic manufacturing item 160,pcs,85.0,34.0,17.0,140.0,100,300,1,,1
PRD-161,Plastic Product 161,Plastic,Plastic manufacturing item 161,pcs,85.5,34.2,17.1,140.8,100,300,1,,1
PRD-162,Plastic Product 162,Plastic,Plastic manufacturing item 162,pcs,86.0,34.4,17.2,141.6,100,300,1,,1
PRD-163,Plastic Product 163,Plastic,Plastic manufacturing item 163,pcs,86.5,34.6,17.3,142.4,100,300,1,,1
PRD-164,Plastic Product 164,Plastic,Plastic manufacturing item 164,pcs,87.0,34.8,17.4,143.2,100,300,1,,1
PRD-165,Plastic Product 165,Plastic,Plastic manufacturing item 165,pcs,87.5,35.0,17.5,144.0,100,300,1,,1
PRD-166,Plastic Product 166,Plastic,Plastic manufacturing item 166,pcs,88.0,35.2,17.6,144.8,100,300,1,,1
PRD-167,Plastic Product 167,Plastic,Plastic manufacturing item 167,pcs,88.5,35.4,17.7,145.6,100,300,1,,1
PRD-168,Plastic Product 168,Plastic,Plastic manufacturing item 168,pcs,89.0,35.6,17.8,146.4,100,300,1,,1
PRD-169,Plastic Product 169,Plastic,Plastic manufacturing item 169,pcs,89.5,35.8,17.9,147.2,100,300,1,,1
PRD-170,Plastic Product 170,Plastic,Plastic manufacturing item 170,pcs,90.0,36.0,18.0,148.0,100,300,1,,1
PRD-171,Plastic Product 171,Plastic,Plastic manufacturing item 171,pcs,90.5,36.2,18.1,148.8,100,300,1,,1
PRD-172,Plastic Product 172,Plastic,Plastic manufacturing item 172,pcs,91.0,36.4,18.2,149.6,100,300,1,,1
PRD-173,Plastic Product 173,Plastic,Plastic manufacturing item 173,pcs,91.5,36.6,18.3,150.4,100,300,1,,1
PRD-174,Plastic Product 174,Plastic,Plastic manufacturing item 174,pcs,92.0,36.8,18.4,151.2,100,300,1,,1
PRD-175,Plastic Product 175,Plastic,Plastic manufacturing item 175,pcs,92.5,37.0,18.5,152.0,100,300,1,,1
PRD-176,Plastic Product 176,Plastic,Plastic manufacturing item 176,pcs,93.0,37.2,18.6,152.8,100,300,1,,1
PRD-177,Plastic Product 177,Plastic,Plastic manufacturing item 177,pcs,93.5,37.4,18.7,153.6,100,300,1,,1
PRD-178,Plastic Product 178,Plastic,Plastic manufacturing item 178,pcs,94.0,37.6,18.8,154.4,100,300,1,,1
PRD-179,Plastic Product 179,Plastic,Plastic manufacturing item 179,pcs,94.5,37.8,18.9,155.2,100,300,1,,1
PRD-180,Plastic Product 180,Plastic,Plastic manufacturing item 180,pcs,95.0,38.0,19.0,156.0,100,300,1,,1
PRD-181,Plastic Product 181,Plastic,Plastic manufacturing item 181,pcs,95.5,38.2,19.1,156.8,100,300,1,,1
PRD-182,Plastic Product 182,Plastic,Plastic manufacturing item 182,pcs,96.0,38.4,19.2,157.6,100,300,1,,1
PRD-183,Plastic Product 183,Plastic,Plastic manufacturing item 183,pcs,96.5,38.6,19.3,158.4,100,300,1,,1
PRD-184,Plastic Product 184,Plastic,Plastic manufacturing item 184,pcs,97.0,38.8,19.4,159.2,100,300,1,,1
PRD-185,Plastic Product 185,Plastic,Plastic manufacturing item 185,pcs,97.5,39.0,19.5,160.0,100,300,1,,1
PRD-186,Plastic Product 186,Plastic,Plastic manufacturing item 186,pcs,98.0,39.2,19.6,160.8,100,300,1,,1
PRD-187,Plastic Product 187,Plastic,Plastic manufacturing item 187,pcs,98.5,39.4,19.7,161.6,100,300,1,,1
PRD-188,Plastic Product 188,Plastic,Plastic manufacturing item 188,pcs,99.0,39.6,19.8,162.4,100,300,1,,1
PRD-189,Plastic Product 189,Plastic,Plastic manufacturing item 189,pcs,99.5,39.8,19.9,163.2,100,300,1,,1
PRD-190,Plastic Product 190,Plastic,Plastic manufacturing item 190,pcs,100.0,40.0,20.0,164.0,100,300,1,,1
PRD-191,Plastic Product 191,Plastic,Plastic manufacturing item 191,pcs,100.5,40.2,20.1,164.8,100,300,1,,1
PRD-192,Plastic Product 192,Plastic,Plastic manufacturing item 192,pcs,101.0,40.4,20.2,165.6,100,300,1,,1
PRD-193,Plastic Product 193,Plastic,Plastic manufacturing item 193,pcs,101.5,40.6,20.3,166.4,100,300,1,,1
PRD-194,Plastic Product 194,Plastic,Plastic manufacturing item 194,pcs,102.0,40.8,20.4,167.2,100,300,1,,1
PRD-195,Plastic Product 195,Plastic,Plastic manufacturing item 195,pcs,102.5,41.0,20.5,168.0,100,300,1,,1
PRD-196,Plastic Product 196,Plastic,Plastic manufacturing item 196,pcs,103.0,41.2,20.6,168.8,100,300,1,,1
PRD-197,Plastic Product 197,Plastic,Plastic manufacturing item 197,pcs,103.5,41.4,20.7,169.6,100,300,1,,1
PRD-198,Plastic Product 198,Plastic,Plastic manufacturing item 198,pcs,104.0,41.6,20.8,170.4,100,300,1,,1
PRD-199,Plastic Product 199,Plastic,Plastic manufacturing item 199,pcs,104.5,41.8,20.9,171.2,100,300,1,,1
PRD-200,Plastic Product 200,Plastic,Plastic manufacturing item 200,pcs,105.0,42.0,21.0,172.0,100,300,1,,1
