product_name,sku,category,unit_price,cost_price,current_stock,min_stock_level,description
Sample Product 44,SKU-0044,Manufacturing,144,114,54,10,Demo product number 44
Sample Product 45,SKU-0045,Manufacturing,145,115,55,10,Demo product number 45
Sample Product 46,SKU-0046,Manufacturing,146,116,56,10,Demo product number 46
Sample Product 47,SKU-0047,Manufacturing,147,117,57,10,Demo product number 47
Sample Product 48,SKU-0048,Manufacturing,148,118,58,10,Demo product number 48
Sample Product 49,SKU-0049,Manufacturing,149,119,59,10,Demo product number 49
Sample Product 50,SKU-0050,Manufacturing,150,120,60,10,Demo product number 50
Sample Product 51,SKU-0051,Manufacturing,151,121,61,10,Demo product number 51
Sample Product 52,SKU-0052,Manufacturing,152,122,62,10,Demo product number 52
Sample Product 53,SKU-0053,Manufacturing,153,123,63,10,Demo product number 53
Sample Product 54,SKU-0054,Manufacturing,154,124,64,10,Demo product number 54
Sample Product 55,SKU-0055,Manufacturing,155,125,65,10,Demo product number 55
Sample Product 56,SKU-0056,Manufacturing,156,126,66,10,Demo product number 56
Sample Product 57,SKU-0057,Manufacturing,157,127,67,10,Demo product number 57
Sample Product 58,SKU-0058,Manufacturing,158,128,68,10,Demo product number 58
Sample Product 59,SKU-0059,Manufacturing,159,129,69,10,Demo product number 59
Sample Product 60,SKU-0060,Manufacturing,160,130,50,10,Demo product number 60
Sample Product 61,SKU-0061,Manufacturing,161,131,51,10,Demo product number 61
Sample Product 62,SKU-0062,Manufacturing,162,132,52,10,Demo product number 62
Sample Product 63,SKU-0063,Manufacturing,163,133,53,10,Demo product number 63
Sample Product 64,SKU-0064,Manufacturing,164,134,54,10,Demo product number 64
Sample Product 65,SKU-0065,Manufacturing,165,135,55,10,Demo product number 65
Sample Product 66,SKU-0066,Manufacturing,166,136,56,10,Demo product number 66
Sample Product 67,SKU-0067,Manufacturing,167,137,57,10,Demo product number 67
Sample Product 68,SKU-0068,Manufacturing,168,138,58,10,Demo product number 68
Sample Product 69,SKU-0069,Manufacturing,169,139,59,10,Demo product number 69
Sample Product 70,SKU-0070,Manufacturing,170,140,60,10,Demo product number 70
Sample Product 71,SKU-0071,Manufacturing,171,141,61,10,Demo product number 71
Sample Product 72,SKU-0072,Manufacturing,172,142,62,10,Demo product number 72
Sample Product 73,SKU-0073,Manufacturing,173,143,63,10,Demo product number 73
Sample Product 74,SKU-0074,Manufacturing,174,144,64,10,Demo product number 74
Sample Product 75,SKU-0075,Manufacturing,175,145,65,10,Demo product number 75
Sample Product 76,SKU-0076,Manufacturing,176,146,66,10,Demo product number 76
Sample Product 77,SKU-0077,Manufacturing,177,147,67,10,Demo product number 77
Sample Product 78,SKU-0078,Manufacturing,178,148,68,10,Demo product number 78
Sample Product 79,SKU-0079,Manufacturing,179,149,69,10,Demo product number 79
Sample Product 80,SKU-0080,Manufacturing,180,150,50,10,Demo product number 80
Sample Product 81,SKU-0081,Manufacturing,181,151,51,10,Demo product number 81
Sample Product 82,SKU-0082,Manufacturing,182,152,52,10,Demo product number 82
Sample Product 83,SKU-0083,Manufacturing,183,153,53,10,Demo product number 83
Sample Product 84,SKU-0084,Manufacturing,184,154,54,10,Demo product number 84
Sample Product 85,SKU-0085,Manufacturing,185,155,55,10,Demo product number 85
Sample Product 86,SKU-0086,Manufacturing,186,156,56,10,Demo product number 86
Sample Product 87,SKU-0087,Manufacturing,187,157,57,10,Demo product number 87
Sample Product 88,SKU-0088,Manufacturing,188,158,58,10,Demo product number 88
Sample Product 89,SKU-0089,Manufacturing,189,159,59,10,Demo product number 89
Sample Product 90,SKU-0090,Manufacturing,190,160,60,10,Demo product number 90
Sample Product 91,SKU-0091,Manufacturing,191,161,61,10,Demo product number 91
Sample Product 92,SKU-0092,Manufacturing,192,162,62,10,Demo product number 92
Sample Product 93,SKU-0093,Manufacturing,193,163,63,10,Demo product number 93
Sample Product 94,SKU-0094,Manufacturing,194,164,64,10,Demo product number 94
Sample Product 95,SKU-0095,Manufacturing,195,165,65,10,Demo product number 95
Sample Product 96,SKU-0096,Manufacturing,196,166,66,10,Demo product number 96
Sample Product 97,SKU-0097,Manufacturing,197,167,67,10,Demo product number 97
Sample Product 98,SKU-0098,Manufacturing,198,168,68,10,Demo product number 98
Sample Product 99,SKU-0099,Manufacturing,199,169,69,10,Demo product number 99
Sample Product 100,SKU-0100,Manufacturing,200,170,50,10,Demo product number 100
Sample Product 101,SKU-0101,Manufacturing,201,171,51,10,Demo product number 101
Sample Product 102,SKU-0102,Manufacturing,202,172,52,10,Demo product number 102
Sample Product 103,SKU-0103,Manufacturing,203,173,53,10,Demo product number 103
Sample Product 104,SKU-0104,Manufacturing,204,174,54,10,Demo product number 104
Sample Product 105,SKU-0105,Manufacturing,205,175,55,10,Demo product number 105
Sample Product 106,SKU-0106,Manufacturing,206,176,56,10,Demo product number 106
Sample Product 107,SKU-0107,Manufacturing,207,177,57,10,Demo product number 107
Sample Product 108,SKU-0108,Manufacturing,208,178,58,10,Demo product number 108
Sample Product 109,SKU-0109,Manufacturing,209,179,59,10,Demo product number 109
Sample Product 110,SKU-0110,Manufacturing,210,180,60,10,Demo product number 110
Sample Product 111,SKU-0111,Manufacturing,211,181,61,10,Demo product number 111
Sample Product 112,SKU-0112,Manufacturing,212,182,62,10,Demo product number 112
Sample Product 113,SKU-0113,Manufacturing,213,183,63,10,Demo product number 113
Sample Product 114,SKU-0114,Manufacturing,214,184,64,10,Demo product number 114
Sample Product 115,SKU-0115,Manufacturing,215,185,65,10,Demo product number 115
Sample Product 116,SKU-0116,Manufacturing,216,186,66,10,Demo product number 116
Sample Product 117,SKU-0117,Manufacturing,217,187,67,10,Demo product number 117
Sample Product 118,SKU-0118,Manufacturing,218,188,68,10,Demo product number 118
Sample Product 119,SKU-0119,Manufacturing,219,189,69,10,Demo product number 119
Sample Product 120,SKU-0120,Manufacturing,220,190,50,10,Demo product number 120
Sample Product 121,SKU-0121,Manufacturing,221,191,51,10,Demo product number 121
Sample Product 122,SKU-0122,Manufacturing,222,192,52,10,Demo product number 122
Sample Product 123,SKU-0123,Manufacturing,223,193,53,10,Demo product number 123
Sample Product 124,SKU-0124,Manufacturing,224,194,54,10,Demo product number 124
Sample Product 125,SKU-0125,Manufacturing,225,195,55,10,Demo product number 125
Sample Product 126,SKU-0126,Manufacturing,226,196,56,10,Demo product number 126
Sample Product 127,SKU-0127,Manufacturing,227,197,57,10,Demo product number 127
Sample Product 128,SKU-0128,Manufacturing,228,198,58,10,Demo product number 128
Sample Product 129,SKU-0129,Manufacturing,229,199,59,10,Demo product number 129
Sample Product 130,SKU-0130,Manufacturing,230,200,60,10,Demo product number 130
Sample Product 131,SKU-0131,Manufacturing,231,201,61,10,Demo product number 131
Sample Product 132,SKU-0132,Manufacturing,232,202,62,10,Demo product number 132
Sample Product 133,SKU-0133,Manufacturing,233,203,63,10,Demo product number 133
Sample Product 134,SKU-0134,Manufacturing,234,204,64,10,Demo product number 134
Sample Product 135,SKU-0135,Manufacturing,235,205,65,10,Demo product number 135
Sample Product 136,SKU-0136,Manufacturing,236,206,66,10,Demo product number 136
Sample Product 137,SKU-0137,Manufacturing,237,207,67,10,Demo product number 137
Sample Product 138,SKU-0138,Manufacturing,238,208,68,10,Demo product number 138
Sample Product 139,SKU-0139,Manufacturing,239,209,69,10,Demo product number 139
Sample Product 140,SKU-0140,Manufacturing,240,210,50,10,Demo product number 140
Sample Product 141,SKU-0141,Manufacturing,241,211,51,10,Demo product number 141
Sample Product 142,SKU-0142,Manufacturing,242,212,52,10,Demo product number 142
Sample Product 143,SKU-0143,Manufacturing,243,213,53,10,Demo product number 143
Sample Product 144,SKU-0144,Manufacturing,244,214,54,10,Demo product number 144
Sample Product 145,SKU-0145,Manufacturing,245,215,55,10,Demo product number 145
Sample Product 146,SKU-0146,Manufacturing,246,216,56,10,Demo product number 146
Sample Product 147,SKU-0147,Manufacturing,247,217,57,10,Demo product number 147
Sample Product 148,SKU-0148,Manufacturing,248,218,58,10,Demo product number 148
Sample Product 149,SKU-0149,Manufacturing,249,219,59,10,Demo product number 149
Sample Product 150,SKU-0150,Manufacturing,250,220,60,10,Demo product number 150
Sample Product 151,SKU-0151,Manufacturing,251,221,61,10,Demo product number 151
Sample Product 152,SKU-0152,Manufacturing,252,222,62,10,Demo product number 152
Sample Product 153,SKU-0153,Manufacturing,253,223,63,10,Demo product number 153
Sample Product 154,SKU-0154,Manufacturing,254,224,64,10,Demo product number 154
Sample Product 155,SKU-0155,Manufacturing,255,225,65,10,Demo product number 155
Sample Product 156,SKU-0156,Manufacturing,256,226,66,10,Demo product number 156
Sample Product 157,SKU-0157,Manufacturing,257,227,67,10,Demo product number 157
Sample Product 158,SKU-0158,Manufacturing,258,228,68,10,Demo product number 158
Sample Product 159,SKU-0159,Manufacturing,259,229,69,10,Demo product number 159
Sample Product 160,SKU-0160,Manufacturing,260,230,50,10,Demo product number 160
Sample Product 161,SKU-0161,Manufacturing,261,231,51,10,Demo product number 161
Sample Product 162,SKU-0162,Manufacturing,262,232,52,10,Demo product number 162
Sample Product 163,SKU-0163,Manufacturing,263,233,53,10,Demo product number 163
Sample Product 164,SKU-0164,Manufacturing,264,234,54,10,Demo product number 164
Sample Product 165,SKU-0165,Manufacturing,265,235,55,10,Demo product number 165
Sample Product 166,SKU-0166,Manufacturing,266,236,56,10,Demo product number 166
Sample Product 167,SKU-0167,Manufacturing,267,237,57,10,Demo product number 167
Sample Product 168,SKU-0168,Manufacturing,268,238,58,10,Demo product number 168
Sample Product 169,SKU-0169,Manufacturing,269,239,59,10,Demo product number 169
Sample Product 170,SKU-0170,Manufacturing,270,240,60,10,Demo product number 170
Sample Product 171,SKU-0171,Manufacturing,271,241,61,10,Demo product number 171
Sample Product 172,SKU-0172,Manufacturing,272,242,62,10,Demo product number 172
Sample Product 173,SKU-0173,Manufacturing,273,243,63,10,Demo product number 173
Sample Product 174,SKU-0174,Manufacturing,274,244,64,10,Demo product number 174
Sample Product 175,SKU-0175,Manufacturing,275,245,65,10,Demo product number 175
Sample Product 176,SKU-0176,Manufacturing,276,246,66,10,Demo product number 176
Sample Product 177,SKU-0177,Manufacturing,277,247,67,10,Demo product number 177
Sample Product 178,SKU-0178,Manufacturing,278,248,68,10,Demo product number 178
Sample Product 179,SKU-0179,Manufacturing,279,249,69,10,Demo product number 179
Sample Product 180,SKU-0180,Manufacturing,280,250,50,10,Demo product number 180
Sample Product 181,SKU-0181,Manufacturing,281,251,51,10,Demo product number 181
Sample Product 182,SKU-0182,Manufacturing,282,252,52,10,Demo product number 182
Sample Product 183,SKU-0183,Manufacturing,283,253,53,10,Demo product number 183
Sample Product 184,SKU-0184,Manufacturing,284,254,54,10,Demo product number 184
Sample Product 185,SKU-0185,Manufacturing,285,255,55,10,Demo product number 185
Sample Product 186,SKU-0186,Manufacturing,286,256,56,10,Demo product number 186
Sample Product 187,SKU-0187,Manufacturing,287,257,57,10,Demo product number 187
Sample Product 188,SKU-0188,Manufacturing,288,258,58,10,Demo product number 188
Sample Product 189,SKU-0189,Manufacturing,289,259,59,10,Demo product number 189
Sample Product 190,SKU-0190,Manufacturing,290,260,60,10,Demo product number 190
Sample Product 191,SKU-0191,Manufacturing,291,261,61,10,Demo product number 191
Sample Product 192,SKU-0192,Manufacturing,292,262,62,10,Demo product number 192
Sample Product 193,SKU-0193,Manufacturing,293,263,63,10,Demo product number 193
Sample Product 194,SKU-0194,Manufacturing,294,264,64,10,Demo product number 194
Sample Product 195,SKU-0195,Manufacturing,295,265,65,10,Demo product number 195
Sample Product 196,SKU-0196,Manufacturing,296,266,66,10,Demo product number 196
Sample Product 197,SKU-0197,Manufacturing,297,267,67,10,Demo product number 197
Sample Product 198,SKU-0198,Manufacturing,298,268,68,10,Demo product number 198
Sample Product 199,SKU-0199,Manufacturing,299,269,69,10,Demo product number 199
Sample Product 200,SKU-0200,Manufacturing,300,270,50,10,Demo product number 200
