product_name,sku,category,unit_price,cost_price,current_stock,min_stock_level,description
Wireless Bluetooth Headphones,ELEC-BT001-022,Electronics,122.01,72.49,190,28,Noise-cancelling over-ear headphones with 30hr battery
Yoga Mat Premium,Sports-YM001-023,Sports & Fitness,34.65,20.0,223,44,Eco-friendly non-slip yoga mat 6mm thick
Children's Building Blocks,TOYS-CB001-024,Toys,53.55,22.54,309,35,200-piece educational building blocks set
Wireless Bluetooth Headphones,ELEC-BT001-025,Electronics,128.84,76.21,163,25,Noise-cancelling over-ear headphones with 30hr battery
Backpack Pro,BAGS-BP001-026,Bags & Luggage,87.1,34.83,131,21,Water-resistant backpack with laptop compartment
Air Purifier,HOME-AP001-027,Home & Kitchen,218.04,124.91,60,7,HEPA filter air purifier for medium rooms
Air Purifier,HOME-AP001-028,Home & Kitchen,187.07,123.53,50,8,HEPA filter air purifier for medium rooms
Children's Building Blocks,TOYS-CB001-029,Toys,53.77,24.18,260,28,200-piece educational building blocks set
Office Desk Lamp,OFFICE-DL001-030,Office Supplies,48.71,20.89,231,28,LED desk lamp with adjustable brightness and USB port
Coffee Maker Deluxe,HOME-CM001-031,Home & Kitchen,164.69,81.36,66,9,Programmable 12-cup coffee maker with thermal carafe
Men's Casual Shirt,FASHION-MS001-032,Fashion,43.1,18.02,286,43,"Cotton blend casual shirt, available in multiple colors"
Children's Building Blocks,TOYS-CB001-033,Toys,47.15,21.12,355,32,200-piece educational building blocks set
Children's Building Blocks,TOYS-CB001-034,Toys,53.74,19.95,200,39,200-piece educational building blocks set
Running Shoes Pro,Sports-RS001-035,Sports & Fitness,89.6,49.36,175,30,Lightweight running shoes with cushioned soles
Backpack Pro,BAGS-BP001-036,Bags & Luggage,84.38,35.08,211,20,Water-resistant backpack with laptop compartment
Women's Winter Jacket,FASHION-WJ001-037,Fashion,130.04,60.03,79,15,Waterproof winter jacket with thermal lining
Backpack Pro,BAGS-BP001-038,Bags & Luggage,76.42,37.53,190,22,Water-resistant backpack with laptop compartment
Air Purifier,HOME-AP001-039,Home & Kitchen,194.24,111.39,47,7,HEPA filter air purifier for medium rooms
Coffee Maker Deluxe,HOME-CM001-040,Home & Kitchen,153.07,85.46,52,10,Programmable 12-cup coffee maker with thermal carafe
Portable Speaker,ELEC-PS001-041,Electronics,69.37,33.29,239,25,Bluetooth speaker with 12hr battery and waterproof design
Running Shoes Pro,Sports-RS001-042,Sports & Fitness,89.28,41.93,208,28,Lightweight running shoes with cushioned soles
Portable Speaker,ELEC-PS001-043,Electronics,63.73,35.69,187,32,Bluetooth speaker with 12hr battery and waterproof design
Wireless Bluetooth Headphones,ELEC-BT001-044,Electronics,122.08,81.17,106,22,Noise-cancelling over-ear headphones with 30hr battery
Office Desk Lamp,OFFICE-DL001-045,Office Supplies,53.63,20.02,136,23,LED desk lamp with adjustable brightness and USB port
Backpack Pro,BAGS-BP001-046,Bags & Luggage,72.63,33.87,197,24,Water-resistant backpack with laptop compartment
Smartphone X12 Pro,ELEC-PH001-047,Electronics,1053.92,642.06,96,15,"Latest flagship with 6.7"" OLED display and triple camera"
Air Purifier,HOME-AP001-048,Home & Kitchen,194.02,112.18,66,9,HEPA filter air purifier for medium rooms
Digital Kitchen Scale,HOME-KS001-049,Home & Kitchen,26.82,10.39,389,57,Precision digital scale with LCD display
Digital Kitchen Scale,HOME-KS001-050,Home & Kitchen,24.42,10.13,388,66,Precision digital scale with LCD display
Men's Casual Shirt,FASHION-MS001-051,Fashion,42.44,17.77,436,43,"Cotton blend casual shirt, available in multiple colors"
Office Desk Lamp,OFFICE-DL001-052,Office Supplies,45.91,23.51,205,20,LED desk lamp with adjustable brightness and USB port
Air Purifier,HOME-AP001-053,Home & Kitchen,211.72,125.09,70,7,HEPA filter air purifier for medium rooms
Men's Casual Shirt,FASHION-MS001-054,Fashion,37.25,19.13,368,47,"Cotton blend casual shirt, available in multiple colors"
Portable Speaker,ELEC-PS001-055,Electronics,66.31,33.04,270,29,Bluetooth speaker with 12hr battery and waterproof design
Ceramic Dinner Set,HOME-DS001-056,Home & Kitchen,78.57,39.98,101,16,"16-piece ceramic dinner set, dishwasher safe"
Children's Building Blocks,TOYS-CB001-057,Toys,51.71,23.87,362,38,200-piece educational building blocks set
Gaming Laptop,GAMING-GL001-058,Gaming,1479.36,1023.08,50,4,"RTX 4070, 32GB RAM, 1TB SSD, 240Hz display"
Women's Winter Jacket,FASHION-WJ001-059,Fashion,122.98,66.83,81,15,Waterproof winter jacket with thermal lining
Backpack Pro,BAGS-BP001-060,Bags & Luggage,82.57,35.38,189,26,Water-resistant backpack with laptop compartment
Men's Casual Shirt,FASHION-MS001-061,Fashion,43.31,18.01,331,41,"Cotton blend casual shirt, available in multiple colors"
Protein Powder 2lb,HEALTH-PP001-062,Health,59.06,26.45,302,34,"Whey protein isolate, vanilla flavor, 30 servings"
Running Shoes Pro,Sports-RS001-063,Sports & Fitness,90.2,45.68,149,34,Lightweight running shoes with cushioned soles
Fitness Tracker Band,ELEC-FT001-064,Electronics,85.71,46.14,147,23,"Heart rate monitor, sleep tracking, waterproof"
Desk Organizer Set,OFFICE-DO001-065,Office Supplies,29.37,13.28,327,45,5-piece desk organizer with pen holder and tray
Office Desk Lamp,OFFICE-DL001-066,Office Supplies,50.06,20.27,157,22,LED desk lamp with adjustable brightness and USB port
Backpack Pro,BAGS-BP001-067,Bags & Luggage,75.72,34.18,189,26,Water-resistant backpack with laptop compartment
Office Desk Lamp,OFFICE-DL001-068,Office Supplies,50.8,21.92,162,22,LED desk lamp with adjustable brightness and USB port
Women's Winter Jacket,FASHION-WJ001-069,Fashion,131.17,67.56,114,13,Waterproof winter jacket with thermal lining
Desk Organizer Set,OFFICE-DO001-070,Office Supplies,32.65,14.78,313,35,5-piece desk organizer with pen holder and tray
Wireless Bluetooth Headphones,ELEC-BT001-071,Electronics,128.65,70.19,134,20,Noise-cancelling over-ear headphones with 30hr battery
Smartphone X12 Pro,ELEC-PH001-072,Electronics,916.99,699.81,68,16,"Latest flagship with 6.7"" OLED display and triple camera"
Gaming Laptop,GAMING-GL001-073,Gaming,1702.13,1159.84,43,5,"RTX 4070, 32GB RAM, 1TB SSD, 240Hz display"
Air Purifier,HOME-AP001-074,Home & Kitchen,211.41,125.14,50,7,HEPA filter air purifier for medium rooms
Men's Casual Shirt,FASHION-MS001-075,Fashion,41.75,16.85,451,50,"Cotton blend casual shirt, available in multiple colors"
Portable Speaker,ELEC-PS001-076,Electronics,64.16,35.76,193,31,Bluetooth speaker with 12hr battery and waterproof design
Digital Kitchen Scale,HOME-KS001-077,Home & Kitchen,24.5,11.71,361,60,Precision digital scale with LCD display
Wireless Gaming Mouse,GAMING-GM001-078,Gaming,82.98,41.43,196,34,RGB wireless mouse with 16000 DPI sensor
Protein Powder 2lb,HEALTH-PP001-079,Health,61.03,28.54,206,39,"Whey protein isolate, vanilla flavor, 30 servings"
Protein Powder 2lb,HEALTH-PP001-080,Health,64.46,28.32,287,33,"Whey protein isolate, vanilla flavor, 30 servings"
Men's Casual Shirt,FASHION-MS001-081,Fashion,42.45,18.59,421,41,"Cotton blend casual shirt, available in multiple colors"
Ceramic Dinner Set,HOME-DS001-082,Home & Kitchen,85.74,37.98,139,18,"16-piece ceramic dinner set, dishwasher safe"
Desk Organizer Set,OFFICE-DO001-083,Office Supplies,30.58,13.87,266,45,5-piece desk organizer with pen holder and tray
Gaming Laptop,GAMING-GL001-084,Gaming,1689.84,1009.17,31,5,"RTX 4070, 32GB RAM, 1TB SSD, 240Hz display"
Backpack Pro,BAGS-BP001-085,Bags & Luggage,85.61,33.52,197,27,Water-resistant backpack with laptop compartment
Air Purifier,HOME-AP001-086,Home & Kitchen,201.67,108.41,67,7,HEPA filter air purifier for medium rooms
Protein Powder 2lb,HEALTH-PP001-087,Health,61.59,29.8,323,38,"Whey protein isolate, vanilla flavor, 30 servings"
Gaming Laptop,GAMING-GL001-088,Gaming,1457.97,1134.68,38,4,"RTX 4070, 32GB RAM, 1TB SSD, 240Hz display"
Digital Kitchen Scale,HOME-KS001-089,Home & Kitchen,27.01,11.17,292,66,Precision digital scale with LCD display
Digital Kitchen Scale,HOME-KS001-090,Home & Kitchen,23.91,10.81,412,60,Precision digital scale with LCD display
Wireless Bluetooth Headphones,ELEC-BT001-091,Electronics,128.97,82.05,130,22,Noise-cancelling over-ear headphones with 30hr battery
Children's Building Blocks,TOYS-CB001-092,Toys,54.84,22.06,246,36,200-piece educational building blocks set
Backpack Pro,BAGS-BP001-093,Bags & Luggage,74.17,35.89,212,28,Water-resistant backpack with laptop compartment
Gaming Laptop,GAMING-GL001-094,Gaming,1642.34,1065.35,48,5,"RTX 4070, 32GB RAM, 1TB SSD, 240Hz display"
Wireless Gaming Mouse,GAMING-GM001-095,Gaming,87.88,46.57,244,26,RGB wireless mouse with 16000 DPI sensor
Women's Winter Jacket,FASHION-WJ001-096,Fashion,141.53,64.56,64,12,Waterproof winter jacket with thermal lining
Running Shoes Pro,Sports-RS001-097,Sports & Fitness,92.77,49.4,244,25,Lightweight running shoes with cushioned soles
Office Desk Lamp,OFFICE-DL001-098,Office Supplies,49.9,23.08,153,25,LED desk lamp with adjustable brightness and USB port
Air Purifier,HOME-AP001-099,Home & Kitchen,193.69,131.02,49,9,HEPA filter air purifier for medium rooms
Backpack Pro,BAGS-BP001-100,Bags & Luggage,83.82,35.32,214,21,Water-resistant backpack with laptop compartment
Electric Toothbrush,HEALTH-ET001-101,Health,95.82,50.25,113,18,Sonic electric toothbrush with 3 brushing modes
Men's Casual Shirt,FASHION-MS001-102,Fashion,40.11,17.26,382,50,"Cotton blend casual shirt, available in multiple colors"
Ceramic Dinner Set,HOME-DS001-103,Home & Kitchen,78.24,40.24,97,22,"16-piece ceramic dinner set, dishwasher safe"
Wireless Bluetooth Headphones,ELEC-BT001-104,Electronics,128.02,75.95,180,21,Noise-cancelling over-ear headphones with 30hr battery
Children's Building Blocks,TOYS-CB001-105,Toys,46.45,23.16,223,35,200-piece educational building blocks set
Backpack Pro,BAGS-BP001-106,Bags & Luggage,72.14,37.48,155,23,Water-resistant backpack with laptop compartment
Coffee Maker Deluxe,HOME-CM001-107,Home & Kitchen,147.56,76.64,70,8,Programmable 12-cup coffee maker with thermal carafe
Digital Kitchen Scale,HOME-KS001-108,Home & Kitchen,26.3,10.72,499,68,Precision digital scale with LCD display
Children's Building Blocks,TOYS-CB001-109,Toys,50.16,20.2,339,40,200-piece educational building blocks set
Women's Winter Jacket,FASHION-WJ001-110,Fashion,123.98,65.65,89,17,Waterproof winter jacket with thermal lining
Protein Powder 2lb,HEALTH-PP001-111,Health,65.13,30.68,237,44,"Whey protein isolate, vanilla flavor, 30 servings"
Coffee Maker Deluxe,HOME-CM001-112,Home & Kitchen,148.07,76.68,64,8,Programmable 12-cup coffee maker with thermal carafe
Smartphone X12 Pro,ELEC-PH001-113,Electronics,910.81,644.73,60,14,"Latest flagship with 6.7"" OLED display and triple camera"
Coffee Maker Deluxe,HOME-CM001-114,Home & Kitchen,137.82,76.96,74,11,Programmable 12-cup coffee maker with thermal carafe
Electric Toothbrush,HEALTH-ET001-115,Health,82.8,45.47,109,22,Sonic electric toothbrush with 3 brushing modes
Women's Winter Jacket,FASHION-WJ001-116,Fashion,118.39,67.95,70,17,Waterproof winter jacket with thermal lining
Wireless Gaming Mouse,GAMING-GM001-117,Gaming,84.48,42.68,181,35,RGB wireless mouse with 16000 DPI sensor
Yoga Mat Premium,Sports-YM001-118,Sports & Fitness,36.61,20.0,261,45,Eco-friendly non-slip yoga mat 6mm thick
Wireless Gaming Mouse,GAMING-GM001-119,Gaming,98.81,43.38,276,35,RGB wireless mouse with 16000 DPI sensor
Children's Building Blocks,TOYS-CB001-120,Toys,48.02,20.18,298,39,200-piece educational building blocks set
Women's Winter Jacket,FASHION-WJ001-121,Fashion,127.8,66.28,74,13,Waterproof winter jacket with thermal lining
Digital Kitchen Scale,HOME-KS001-122,Home & Kitchen,25.97,11.72,409,52,Precision digital scale with LCD display
Yoga Mat Premium,Sports-YM001-123,Sports & Fitness,35.82,18.4,320,45,Eco-friendly non-slip yoga mat 6mm thick
Wireless Gaming Mouse,GAMING-GM001-124,Gaming,88.45,45.8,205,35,RGB wireless mouse with 16000 DPI sensor
Smartphone X12 Pro,ELEC-PH001-125,Electronics,1079.22,618.79,92,16,"Latest flagship with 6.7"" OLED display and triple camera"
Desk Organizer Set,OFFICE-DO001-126,Office Supplies,31.02,14.78,274,43,5-piece desk organizer with pen holder and tray
Smartphone X12 Pro,ELEC-PH001-127,Electronics,962.8,599.18,95,15,"Latest flagship with 6.7"" OLED display and triple camera"
Running Shoes Pro,Sports-RS001-128,Sports & Fitness,86.32,43.1,180,28,Lightweight running shoes with cushioned soles
Air Purifier,HOME-AP001-129,Home & Kitchen,199.83,126.19,67,8,HEPA filter air purifier for medium rooms
Ceramic Dinner Set,HOME-DS001-130,Home & Kitchen,85.25,42.37,151,19,"16-piece ceramic dinner set, dishwasher safe"
Wireless Gaming Mouse,GAMING-GM001-131,Gaming,96.43,46.62,186,30,RGB wireless mouse with 16000 DPI sensor
Air Purifier,HOME-AP001-132,Home & Kitchen,195.4,116.64,60,8,HEPA filter air purifier for medium rooms
Desk Organizer Set,OFFICE-DO001-133,Office Supplies,32.99,14.33,227,39,5-piece desk organizer with pen holder and tray
Running Shoes Pro,Sports-RS001-134,Sports & Fitness,81.28,46.15,195,24,Lightweight running shoes with cushioned soles
Running Shoes Pro,Sports-RS001-135,Sports & Fitness,97.49,41.63,166,24,Lightweight running shoes with cushioned soles
Digital Kitchen Scale,HOME-KS001-136,Home & Kitchen,27.06,10.73,343,51,Precision digital scale with LCD display
Children's Building Blocks,TOYS-CB001-137,Toys,46.77,21.96,245,30,200-piece educational building blocks set
Digital Kitchen Scale,HOME-KS001-138,Home & Kitchen,24.91,11.27,412,70,Precision digital scale with LCD display
Running Shoes Pro,Sports-RS001-139,Sports & Fitness,98.92,48.17,247,28,Lightweight running shoes with cushioned soles
Yoga Mat Premium,Sports-YM001-140,Sports & Fitness,37.63,19.8,302,53,Eco-friendly non-slip yoga mat 6mm thick
Air Purifier,HOME-AP001-141,Home & Kitchen,217.02,122.84,59,7,HEPA filter air purifier for medium rooms
Wireless Gaming Mouse,GAMING-GM001-142,Gaming,83.4,43.19,277,26,RGB wireless mouse with 16000 DPI sensor
Air Purifier,HOME-AP001-143,Home & Kitchen,199.61,114.17,69,6,HEPA filter air purifier for medium rooms
Men's Casual Shirt,FASHION-MS001-144,Fashion,36.0,16.78,427,48,"Cotton blend casual shirt, available in multiple colors"
Fitness Tracker Band,ELEC-FT001-145,Electronics,76.63,38.3,217,29,"Heart rate monitor, sleep tracking, waterproof"
Ceramic Dinner Set,HOME-DS001-146,Home & Kitchen,82.13,38.42,107,20,"16-piece ceramic dinner set, dishwasher safe"
Backpack Pro,BAGS-BP001-147,Bags & Luggage,82.42,37.44,152,21,Water-resistant backpack with laptop compartment
Wireless Gaming Mouse,GAMING-GM001-148,Gaming,84.0,42.88,178,34,RGB wireless mouse with 16000 DPI sensor
Fitness Tracker Band,ELEC-FT001-149,Electronics,81.34,45.77,140,28,"Heart rate monitor, sleep tracking, waterproof"
Children's Building Blocks,TOYS-CB001-150,Toys,50.68,21.7,342,34,200-piece educational building blocks set
Women's Winter Jacket,FASHION-WJ001-151,Fashion,140.72,68.59,75,15,Waterproof winter jacket with thermal lining
Wireless Bluetooth Headphones,ELEC-BT001-152,Electronics,137.76,81.4,110,23,Noise-cancelling over-ear headphones with 30hr battery
Wireless Gaming Mouse,GAMING-GM001-153,Gaming,94.88,48.61,181,32,RGB wireless mouse with 16000 DPI sensor
Office Desk Lamp,OFFICE-DL001-154,Office Supplies,50.88,23.71,133,29,LED desk lamp with adjustable brightness and USB port
Gaming Laptop,GAMING-GL001-155,Gaming,1647.54,1105.66,45,5,"RTX 4070, 32GB RAM, 1TB SSD, 240Hz display"
Portable Speaker,ELEC-PS001-156,Electronics,65.75,32.83,271,26,Bluetooth speaker with 12hr battery and waterproof design
Backpack Pro,BAGS-BP001-157,Bags & Luggage,72.03,33.87,151,24,Water-resistant backpack with laptop compartment
Wireless Gaming Mouse,GAMING-GM001-158,Gaming,97.21,45.13,230,26,RGB wireless mouse with 16000 DPI sensor
Wireless Bluetooth Headphones,ELEC-BT001-159,Electronics,122.75,73.23,111,25,Noise-cancelling over-ear headphones with 30hr battery
Fitness Tracker Band,ELEC-FT001-160,Electronics,85.56,39.44,244,22,"Heart rate monitor, sleep tracking, waterproof"
Ceramic Dinner Set,HOME-DS001-161,Home & Kitchen,83.79,43.08,139,16,"16-piece ceramic dinner set, dishwasher safe"
Men's Casual Shirt,FASHION-MS001-162,Fashion,41.31,17.5,424,45,"Cotton blend casual shirt, available in multiple colors"
Men's Casual Shirt,FASHION-MS001-163,Fashion,42.68,16.89,317,41,"Cotton blend casual shirt, available in multiple colors"
Yoga Mat Premium,Sports-YM001-164,Sports & Fitness,33.53,19.3,317,41,Eco-friendly non-slip yoga mat 6mm thick
Fitness Tracker Band,ELEC-FT001-165,Electronics,80.8,42.71,220,25,"Heart rate monitor, sleep tracking, waterproof"
Wireless Gaming Mouse,GAMING-GM001-166,Gaming,90.15,46.78,183,24,RGB wireless mouse with 16000 DPI sensor
Coffee Maker Deluxe,HOME-CM001-167,Home & Kitchen,149.0,77.75,61,9,Programmable 12-cup coffee maker with thermal carafe
Office Desk Lamp,OFFICE-DL001-168,Office Supplies,48.82,20.93,225,28,LED desk lamp with adjustable brightness and USB port
Running Shoes Pro,Sports-RS001-169,Sports & Fitness,92.62,43.0,238,29,Lightweight running shoes with cushioned soles
Wireless Gaming Mouse,GAMING-GM001-170,Gaming,85.53,46.63,261,33,RGB wireless mouse with 16000 DPI sensor
Wireless Bluetooth Headphones,ELEC-BT001-171,Electronics,139.23,81.63,184,25,Noise-cancelling over-ear headphones with 30hr battery
Desk Organizer Set,OFFICE-DO001-172,Office Supplies,29.68,12.8,333,42,5-piece desk organizer with pen holder and tray
Digital Kitchen Scale,HOME-KS001-173,Home & Kitchen,26.25,11.01,485,48,Precision digital scale with LCD display
Protein Powder 2lb,HEALTH-PP001-174,Health,60.91,27.68,279,41,"Whey protein isolate, vanilla flavor, 30 servings"
Women's Winter Jacket,FASHION-WJ001-175,Fashion,134.95,70.8,97,15,Waterproof winter jacket with thermal lining
Wireless Gaming Mouse,GAMING-GM001-176,Gaming,85.03,47.14,231,28,RGB wireless mouse with 16000 DPI sensor
Children's Building Blocks,TOYS-CB001-177,Toys,45.19,21.03,219,36,200-piece educational building blocks set
Air Purifier,HOME-AP001-178,Home & Kitchen,211.3,128.6,48,8,HEPA filter air purifier for medium rooms
Wireless Bluetooth Headphones,ELEC-BT001-179,Electronics,120.6,81.77,171,23,Noise-cancelling over-ear headphones with 30hr battery
Fitness Tracker Band,ELEC-FT001-180,Electronics,73.29,41.15,196,24,"Heart rate monitor, sleep tracking, waterproof"
Women's Winter Jacket,FASHION-WJ001-181,Fashion,125.26,68.45,74,12,Waterproof winter jacket with thermal lining
Fitness Tracker Band,ELEC-FT001-182,Electronics,80.95,40.99,197,26,"Heart rate monitor, sleep tracking, waterproof"
Backpack Pro,BAGS-BP001-183,Bags & Luggage,84.74,31.52,161,26,Water-resistant backpack with laptop compartment
Office Desk Lamp,OFFICE-DL001-184,Office Supplies,49.92,21.06,187,22,LED desk lamp with adjustable brightness and USB port
Yoga Mat Premium,Sports-YM001-185,Sports & Fitness,36.17,20.3,320,48,Eco-friendly non-slip yoga mat 6mm thick
Desk Organizer Set,OFFICE-DO001-186,Office Supplies,29.7,14.52,410,44,5-piece desk organizer with pen holder and tray
Air Purifier,HOME-AP001-187,Home & Kitchen,201.25,112.58,67,7,HEPA filter air purifier for medium rooms
Smartphone X12 Pro,ELEC-PH001-188,Electronics,945.47,592.9,110,15,"Latest flagship with 6.7"" OLED display and triple camera"
Desk Organizer Set,OFFICE-DO001-189,Office Supplies,27.61,13.85,356,35,5-piece desk organizer with pen holder and tray
Women's Winter Jacket,FASHION-WJ001-190,Fashion,127.31,70.0,95,17,Waterproof winter jacket with thermal lining
Desk Organizer Set,OFFICE-DO001-191,Office Supplies,28.76,12.7,370,36,5-piece desk organizer with pen holder and tray
Fitness Tracker Band,ELEC-FT001-192,Electronics,82.55,39.92,201,23,"Heart rate monitor, sleep tracking, waterproof"
Men's Casual Shirt,FASHION-MS001-193,Fashion,39.93,19.68,282,50,"Cotton blend casual shirt, available in multiple colors"
Protein Powder 2lb,HEALTH-PP001-194,Health,58.27,26.65,311,44,"Whey protein isolate, vanilla flavor, 30 servings"
Portable Speaker,ELEC-PS001-195,Electronics,66.5,37.19,269,28,Bluetooth speaker with 12hr battery and waterproof design
Desk Organizer Set,OFFICE-DO001-196,Office Supplies,32.76,13.63,390,39,5-piece desk organizer with pen holder and tray
Portable Speaker,ELEC-PS001-197,Electronics,75.05,37.6,191,34,Bluetooth speaker with 12hr battery and waterproof design
Yoga Mat Premium,Sports-YM001-198,Sports & Fitness,33.2,18.74,210,43,Eco-friendly non-slip yoga mat 6mm thick
Portable Speaker,ELEC-PS001-199,Electronics,75.28,37.14,168,25,Bluetooth speaker with 12hr battery and waterproof design
Children's Building Blocks,TOYS-CB001-200,Toys,49.0,21.39,248,40,200-piece educational building blocks set
Gaming Laptop,GAMING-GL001-201,Gaming,1463.49,1206.9,41,5,"RTX 4070, 32GB RAM, 1TB SSD, 240Hz display"
Office Desk Lamp,OFFICE-DL001-202,Office Supplies,49.19,23.17,143,22,LED desk lamp with adjustable brightness and USB port
Backpack Pro,BAGS-BP001-203,Bags & Luggage,84.58,37.55,214,28,Water-resistant backpack with laptop compartment
Yoga Mat Premium,Sports-YM001-204,Sports & Fitness,36.15,17.13,292,46,Eco-friendly non-slip yoga mat 6mm thick
Men's Casual Shirt,FASHION-MS001-205,Fashion,39.59,17.6,401,42,"Cotton blend casual shirt, available in multiple colors"
Desk Organizer Set,OFFICE-DO001-206,Office Supplies,27.83,14.49,342,47,5-piece desk organizer with pen holder and tray
Electric Toothbrush,HEALTH-ET001-207,Health,81.34,47.98,99,22,Sonic electric toothbrush with 3 brushing modes
Children's Building Blocks,TOYS-CB001-208,Toys,51.16,22.66,303,40,200-piece educational building blocks set
Office Desk Lamp,OFFICE-DL001-209,Office Supplies,45.75,22.71,203,22,LED desk lamp with adjustable brightness and USB port
Office Desk Lamp,OFFICE-DL001-210,Office Supplies,51.96,22.49,214,25,LED desk lamp with adjustable brightness and USB port
Children's Building Blocks,TOYS-CB001-211,Toys,51.93,21.85,285,34,200-piece educational building blocks set
Wireless Gaming Mouse,GAMING-GM001-212,Gaming,83.76,42.88,167,24,RGB wireless mouse with 16000 DPI sensor
Coffee Maker Deluxe,HOME-CM001-213,Home & Kitchen,164.51,88.39,52,10,Programmable 12-cup coffee maker with thermal carafe
Men's Casual Shirt,FASHION-MS001-214,Fashion,40.57,17.25,436,42,"Cotton blend casual shirt, available in multiple colors"
Wireless Gaming Mouse,GAMING-GM001-215,Gaming,91.2,44.62,249,33,RGB wireless mouse with 16000 DPI sensor
Office Desk Lamp,OFFICE-DL001-216,Office Supplies,48.9,23.0,164,22,LED desk lamp with adjustable brightness and USB port
Portable Speaker,ELEC-PS001-217,Electronics,63.48,34.23,202,25,Bluetooth speaker with 12hr battery and waterproof design
Running Shoes Pro,Sports-RS001-218,Sports & Fitness,90.67,43.65,158,30,Lightweight running shoes with cushioned soles
Protein Powder 2lb,HEALTH-PP001-219,Health,63.58,27.52,236,47,"Whey protein isolate, vanilla flavor, 30 servings"
Children's Building Blocks,TOYS-CB001-220,Toys,54.18,20.27,249,28,200-piece educational building blocks set
Children's Building Blocks,TOYS-CB001-221,Toys,52.58,22.1,316,41,200-piece educational building blocks set
Coffee Maker Deluxe,HOME-CM001-222,Home & Kitchen,151.1,86.36,45,8,Programmable 12-cup coffee maker with thermal carafe
Fitness Tracker Band,ELEC-FT001-223,Electronics,79.91,44.94,229,23,"Heart rate monitor, sleep tracking, waterproof"
Children's Building Blocks,TOYS-CB001-224,Toys,48.18,20.05,228,32,200-piece educational building blocks set
Men's Casual Shirt,FASHION-MS001-225,Fashion,36.43,16.96,416,45,"Cotton blend casual shirt, available in multiple colors"
Digital Kitchen Scale,HOME-KS001-226,Home & Kitchen,22.94,11.77,513,65,Precision digital scale with LCD display
Gaming Laptop,GAMING-GL001-227,Gaming,1501.67,1001.05,41,4,"RTX 4070, 32GB RAM, 1TB SSD, 240Hz display"
Wireless Gaming Mouse,GAMING-GM001-228,Gaming,86.17,42.54,166,24,RGB wireless mouse with 16000 DPI sensor
Men's Casual Shirt,FASHION-MS001-229,Fashion,41.56,17.03,438,50,"Cotton blend casual shirt, available in multiple colors"
Ceramic Dinner Set,HOME-DS001-230,Home & Kitchen,85.99,41.64,139,23,"16-piece ceramic dinner set, dishwasher safe"
Desk Organizer Set,OFFICE-DO001-231,Office Supplies,30.37,13.64,309,32,5-piece desk organizer with pen holder and tray
Office Desk Lamp,OFFICE-DL001-232,Office Supplies,48.34,20.47,165,22,LED desk lamp with adjustable brightness and USB port
